,Date,State,Cases
129,2020-07-04,Alaska,36.57142857142857
130,2020-07-05,Alaska,36.285714285714285
131,2020-07-06,Alaska,37.285714285714285
132,2020-07-07,Alaska,34.714285714285715
133,2020-07-08,Alaska,35.285714285714285
134,2020-07-09,Alaska,36.285714285714285
135,2020-07-10,Alaska,37.57142857142857
136,2020-07-11,Alaska,39.714285714285715
137,2020-07-12,Alaska,49.285714285714285
138,2020-07-13,Alaska,53.857142857142854
139,2020-07-14,Alaska,57.0
140,2020-07-15,Alaska,58.42857142857143
141,2020-07-16,Alaska,60.714285714285715
142,2020-07-17,Alaska,58.714285714285715
143,2020-07-18,Alaska,58.714285714285715
144,2020-07-19,Alaska,56.57142857142857
145,2020-07-20,Alaska,58.714285714285715
146,2020-07-21,Alaska,66.14285714285714
147,2020-07-22,Alaska,71.42857142857143
148,2020-07-23,Alaska,71.42857142857143
149,2020-07-24,Alaska,73.57142857142857
150,2020-07-25,Alaska,77.57142857142857
151,2020-07-26,Alaska,92.85714285714286
152,2020-07-27,Alaska,96.14285714285714
153,2020-07-28,Alaska,98.28571428571429
154,2020-07-29,Alaska,95.28571428571429
155,2020-07-30,Alaska,98.0
156,2020-07-31,Alaska,105.85714285714286
157,2020-08-01,Alaska,113.85714285714286
158,2020-08-02,Alaska,107.85714285714286
159,2020-08-03,Alaska,102.57142857142857
160,2020-08-04,Alaska,94.85714285714286
161,2020-08-05,Alaska,92.85714285714286
162,2020-08-06,Alaska,86.28571428571429
163,2020-08-07,Alaska,78.0
164,2020-08-08,Alaska,68.14285714285714
165,2020-08-09,Alaska,61.57142857142857
166,2020-08-10,Alaska,61.857142857142854
167,2020-08-11,Alaska,60.714285714285715
168,2020-08-12,Alaska,61.57142857142857
169,2020-08-13,Alaska,68.57142857142857
170,2020-08-14,Alaska,76.71428571428571
171,2020-08-15,Alaska,77.57142857142857
172,2020-08-16,Alaska,78.28571428571429
173,2020-08-17,Alaska,76.42857142857143
174,2020-08-18,Alaska,78.85714285714286
175,2020-08-19,Alaska,79.85714285714286
176,2020-08-20,Alaska,79.57142857142857
177,2020-08-21,Alaska,73.57142857142857
178,2020-08-22,Alaska,74.42857142857143
179,2020-08-23,Alaska,68.85714285714286
180,2020-08-24,Alaska,71.57142857142857
181,2020-08-25,Alaska,67.42857142857143
182,2020-08-26,Alaska,65.28571428571429
183,2020-08-27,Alaska,64.85714285714286
184,2020-08-28,Alaska,72.0
185,2020-08-29,Alaska,72.14285714285714
186,2020-08-30,Alaska,69.28571428571429
187,2020-08-31,Alaska,64.71428571428571
188,2020-09-01,Alaska,64.85714285714286
189,2020-09-02,Alaska,66.71428571428571
190,2020-09-03,Alaska,70.0
191,2020-09-04,Alaska,70.28571428571429
192,2020-09-05,Alaska,70.71428571428571
193,2020-09-06,Alaska,76.28571428571429
194,2020-09-07,Alaska,75.71428571428571
195,2020-09-08,Alaska,75.85714285714286
196,2020-09-09,Alaska,75.57142857142857
197,2020-09-10,Alaska,78.28571428571429
198,2020-09-11,Alaska,74.28571428571429
199,2020-09-12,Alaska,75.71428571428571
200,2020-09-13,Alaska,72.57142857142857
201,2020-09-14,Alaska,78.57142857142857
202,2020-09-15,Alaska,79.42857142857143
203,2020-09-16,Alaska,77.28571428571429
204,2020-09-17,Alaska,75.0
205,2020-09-18,Alaska,77.14285714285714
206,2020-09-19,Alaska,74.57142857142857
207,2020-09-20,Alaska,79.14285714285714
208,2020-09-21,Alaska,78.42857142857143
209,2020-09-22,Alaska,78.85714285714286
